,model,sensitivy,auc
0,weights-0.66.hdf5,0.7151515151515152,0.6836627140974968
1,weights-0.78.hdf5,0.8787878787878788,0.816205533596838
2,weights-0.80.hdf5,0.9212121212121213,0.8446640316205534
3,weights-0.81.hdf5,0.8181818181818182,0.8438735177865614
